DESCRIPTION,CREATED_BY_ID,CLOSED_BY_ID,VEHICLE_ID,VEHICLE_METER_VALUE,VEHICLE_METER_UNIT,VEHICLE_METER_AT,CUSTOM_FIELDS,REPORTED_AT,RESOLVED_AT,RESOLVED_NOTE,STATE,CREATED_AT,UPDATED_AT
flat,3264b7acc673cbbad595a95e32ef8408,,a6f2d2a3a20e07eb23374de198eca57e,3847.399733,mi,2023-06-21T00:00:00Z,{},2023-05-02T10:27:26.171Z,2023-05-02T10:27:58Z,,resolved,2023-05-02T10:27:26.357Z,2023-05-02T10:27:59.023Z
battery,3264b7acc673cbbad595a95e32ef8408,,42b5a20b83713db796906f705e23c063,11922.32602,mi,2023-07-04T00:00:00Z,{},2023-03-30T15:18:21.528Z,2023-03-30T16:19:10Z,,resolved,2023-03-30T15:18:21.735Z,2023-03-30T16:19:13.047Z
Leaking from bottom of engine,,,0091982847432d49c3261ff770275cff,143829.7615,mi,2023-01-25T00:00:00Z,{},2023-01-23T02:37:47Z,,,open,2023-01-23T02:37:47Z,2023-01-30T14:37:48.168Z
small leak from spool valve to change direction of mixer (valve is located at the pump ),e515bb69e5a94d8470f67c93b457faa6,,e2d70e8207b7f1a8af21247c2b1a4a77,327736.6086,km,2023-06-15T00:00:00Z,{},2023-05-30T14:47:00Z,2023-06-15T14:30:00Z,,resolved,2023-05-30T16:04:20.099Z,2023-06-15T14:58:36.304Z
tire,,,e898d8d503dc4aba053b2de168c17fdd,-1218.6948,mi,2023-05-26T00:00:00Z,{},2023-05-26T14:29:10.663Z,2023-05-26T14:32:11Z,,resolved,2023-05-26T14:29:10.894Z,2023-05-26T14:32:14.104Z
ABS light on,,,71468ad80944b382fa58239ac02656c8,174404.4071,mi,2023-05-26T00:00:00Z,{},2023-01-10T19:59:55Z,2023-01-13T05:00:00Z,,resolved,2023-01-10T20:27:25.481Z,2023-01-13T16:21:22.85Z
The new clutch brake need adjusted to so it will work.,55d4aeb7cf55ccc0be96091e0fae4f62,,da640ac405dcec8840f6cab43cbc91fb,1749158.282,mi,2023-07-04T00:00:00Z,{},2023-04-28T18:27:40.042Z,2023-05-12T17:30:00Z,,resolved,2023-04-28T18:28:38.868Z,2023-05-24T20:58:05.837Z
,8437d7534a9bd91f0d6f440a31941859,,410e0bf792dac4aedf91863a1519a805,9113.533303,hr,2023-06-29T00:00:00Z,{},2023-01-10T13:30:00Z,2023-01-10T11:30:00Z,,resolved,2023-01-10T13:31:12.972Z,2023-01-10T13:39:36.104Z
,0585c5bd743f0655820437caec8b9a53,,aa7929bbb07b8d1fd1a3a2c050b563fb,151712.186,km,2023-02-05T00:00:00Z,{},2023-02-15T06:04:00Z,2023-02-13T13:30:00Z,,resolved,2023-02-15T06:05:18.248Z,2023-02-15T06:08:22.668Z
Steering wheel came off,,,44ac9f4fa876050325698b81561dc880,146190.8545,mi,2023-07-04T00:00:00Z,{},2023-03-23T10:49:37Z,2023-03-23T17:14:59.592Z,,resolved,2023-03-23T12:05:17.475Z,2023-03-23T17:14:59.719Z
Driver says batteries area smells like rotten eggs,f7153e12b7755764dc73f256080a90a1,,bd4eb5292704bb33bd56ee4489b7affc,838701.7299,mi,2023-07-04T00:00:00Z,{},2023-02-02T02:42:51.389Z,2023-02-02T02:03:14Z,,resolved,2023-02-02T02:43:23.2Z,2023-02-02T03:03:48.196Z
reach,3264b7acc673cbbad595a95e32ef8408,,2ad50b3650e2694c82aac74edfc79fb3,14373.57704,mi,2023-06-25T00:00:00Z,{},2023-03-16T03:55:28.877Z,2023-03-16T04:13:33Z,,resolved,2023-03-16T03:55:29.062Z,2023-03-16T04:13:34.4Z
PTO not working due to wiring connection at pump,924f3f87748e4231b9b00325fae51f41,,c762e1d53e617ff832ebba02aec765d9,11077.76291,hr,2023-06-29T00:00:00Z,{},2023-04-28T19:35:40.523Z,2023-06-08T15:00:00Z,,resolved,2023-04-28T19:36:18.242Z,2023-06-12T12:45:15.022Z
caliper align,3264b7acc673cbbad595a95e32ef8408,,394b208778cd0d31c21a45dabdbd22c1,770.486333,km,2023-06-15T00:00:00Z,{},2023-02-28T23:01:05.073Z,2023-02-28T23:37:23Z,,resolved,2023-02-28T23:01:05.258Z,2023-02-28T23:37:24.333Z
Tire 4 replace,447b3f8274e1b1c6d40ff83371d6f342,,a7110f5a6cdaad41b0588cdd151e8a65,171315.1314,mi,2023-07-04T00:00:00Z,{},2023-06-28T13:58:47.259Z,,,open,2023-06-28T13:59:29.264Z,2023-06-28T13:59:29.264Z
Completely dark screen after turning on stack and also tried to turn on the monitor using the on/off button,2b9cf62b6e169d5bc98a1f14167081ce,,fefa6fea8aa9df6dedc09b7501861b83,49108.35332,mi,2023-06-29T00:00:00Z,,2023-02-16T12:22:01.683Z,2023-02-16T06:00:00Z,,resolved,2023-02-16T12:23:37.716Z,2023-02-16T21:05:00.139Z
,63d3f9690b1b40bc9adcafdcbe8fc601,,22d02bab4a71f4547aba38ce183f2728,86422.66369,mi,2023-07-04T00:00:00Z,{},2023-02-20T22:15:02.453Z,2023-02-21T15:34:46.489Z,,resolved,2023-02-20T22:16:04.975Z,2023-02-21T15:35:38.638Z
Please check tire missing,975f29fcb44e61e82e0701a7d952bee8,,ea03c0da1324f3454db46a97c6099406,11190.16187,km,2023-07-04T00:00:00Z,"{
  ""delivery_date"": """",
  ""issue_raised_by_"": """",
  ""issue_summary"": ""Tire Issue""
}",2023-03-22T02:07:53.394Z,2023-03-28T09:05:11.32Z,New rim and tyre fixed for spare tyre,resolved,2023-03-22T02:10:45.217Z,2023-03-28T09:05:11.358Z
"lights on, truck pedal acting up a lot.
curb gb air bag is ripped.
spray bar leaking, if possible add t connector to lower hose to drain tank. 
A/C is not working.",1175f67f390e948a6077bfac519a59e2,,4846459a50ff1c35913e513d11d838ec,132416.2738,mi,2023-07-04T00:00:00Z,{},2023-04-27T21:20:00Z,2023-04-27T05:00:00Z,,resolved,2023-04-27T21:23:22.235Z,2023-05-16T21:29:43.943Z
"alignment, reach",3264b7acc673cbbad595a95e32ef8408,,ba518ee37833580aac4121b6f268621a,479.7481907,km,2023-05-08T00:00:00Z,{},2023-05-09T01:46:42.718Z,2023-05-09T01:59:10Z,,resolved,2023-05-09T01:46:42.891Z,2023-05-09T01:59:12.319Z
Not working properly,,,532d27883d7e1553150a0ca559a61ed6,456290.7552,mi,2023-07-04T00:00:00Z,{},2023-04-12T15:20:02Z,2023-06-01T22:00:00Z,,resolved,2023-04-12T15:29:53.081Z,2023-06-02T20:02:22.657Z
Need cleaning,,,281c74a40eb166ea995f8714c133fdf7,375251.5326,mi,2023-07-04T00:00:00Z,{},2023-04-02T08:17:10Z,2023-04-21T11:18:07.052Z,bathroom has been cleaned,resolved,2023-04-02T08:27:06.236Z,2023-04-21T11:18:07.095Z
Bad hydraulic pump,e9e64ea492fa937d6d06f5dc72f9915d,,76ff53471ca7bc3d774daae5aff44ac7,271137.1618,mi,2023-07-04T00:00:00Z,{},2023-01-15T13:24:21.246Z,2023-01-15T13:26:53.164Z,Replaced hydraulic pump on the pto,resolved,2023-01-15T13:25:23.989Z,2023-01-15T13:26:53.266Z
Low beam bulb fault,,,ad78a3e7b71208de779cd62c53fd464d,23660.07815,hr,2023-07-04T00:00:00Z,{},2023-06-19T10:43:41Z,2023-06-20T01:30:44.476Z,,resolved,2023-06-19T11:34:13.467Z,2023-06-20T01:30:44.92Z
,854d2b739fc131ec4fc38b207150b4a4,,5c09d6125c744482ad926c695d253699,561997.3718,mi,2023-06-21T00:00:00Z,{},2023-06-26T16:51:56.014Z,,,open,2023-06-26T16:53:01.043Z,2023-06-26T16:53:01.078Z
,6f14cf24f13c62f6a0ff06aed696bb72,6f14cf24f13c62f6a0ff06aed696bb72,bccb8f90add9960e8439034b53484e52,53164.85437,mi,2023-07-04T00:00:00Z,{},2023-05-03T14:48:00Z,,,closed,2023-05-03T14:48:24.764Z,2023-06-24T13:32:25.946Z
"alignment, reach",,,02ae6af669caa6298511e7a6284b2d91,-3955.834351,mi,2023-06-20T00:00:00Z,{},2023-06-20T11:07:04.874Z,2023-06-20T11:10:19Z,,resolved,2023-06-20T11:07:05.08Z,2023-06-20T11:10:20.626Z
"Temporary repair has been made to the nearside rear lamp. 
Could we please make the necessary repairs required.",ad3e807d3845618e4e2e2831b149c4b7,,655b05f492ae263718cb3d9ad46065dd,-5348.37603,km,2022-11-28T00:00:00Z,{},2023-01-27T10:22:36.721Z,2023-04-11T14:45:00Z,,resolved,2023-01-27T10:24:18.198Z,2023-04-12T12:40:50.166Z
"Passenger side of front bumper hanging down, I got it rigged but not well, it needs some bolts in it",,,fc2ba73a3046c91d167235ab4c1f15d1,452097.953,mi,2023-07-04T00:00:00Z,{},2023-03-30T21:11:35Z,2023-03-31T21:57:00Z,,resolved,2023-03-30T21:33:49.408Z,2023-03-31T12:40:27.868Z
Bolt in back left side tire. Slow leak.,,,ae67b367986911bcf0d05a388268e191,49793.03412,mi,2023-05-11T00:00:00Z,{},2023-05-11T19:35:10Z,,,open,2023-05-11T19:35:10Z,2023-05-12T00:06:14.972Z
